epoch,start_epoch,loss,accuracy,learning_rate,train_time,optimizer,scheduler_step_size
1,0,3.8356335483737376,0.10405394809064533,0.001,2164.2504155635834,SGD,50
2,0,3.536812611919174,0.14961185603387436,0.001,2163.8471219539642,SGD,50
3,0,3.3233572665190385,0.18701482004234296,0.001,2173.766177892685,SGD,50
4,0,3.165004853163571,0.21351838783031443,0.001,2174.296402692795,SGD,50
5,0,3.0496073441440745,0.2324159021406728,0.001,2175.916868209839,SGD,50
6,0,2.9424211848981425,0.26025248961028774,0.001,2172.3101098537445,SGD,50
7,0,2.8435190377736066,0.28361954050027444,0.001,2172.464953660965,SGD,50
8,0,2.7786070959694964,0.29514624010036855,0.001,2173.4600641727448,SGD,50
9,0,2.709299862267952,0.30879008860660234,0.001,3161.1096601486206,SGD,50
10,0,2.6461663921515184,0.3250215635536736,0.001,3481.908620119095,SGD,50
